datetime,open,high,low,close,volume
2019-04-16T05:00:00.000000000Z,0.86363,0.86484,0.86322,0.86379,3287
2019-04-16T09:00:00.000000000Z,0.86382,0.86538,0.86256,0.8648,5850
2019-04-16T13:00:00.000000000Z,0.86478,0.86599,0.86416,0.86459,5669
2019-04-16T17:00:00.000000000Z,0.86456,0.86516,0.86431,0.86454,1371
2019-04-16T21:00:00.000000000Z,0.86468,0.86563,0.86446,0.86534,1003
2019-04-17T01:00:00.000000000Z,0.86536,0.86616,0.8653,0.86558,844
2019-04-17T05:00:00.000000000Z,0.86555,0.86804,0.86542,0.86764,4019
2019-04-17T09:00:00.000000000Z,0.86761,0.86812,0.86542,0.86682,4424
2019-04-17T13:00:00.000000000Z,0.86684,0.86748,0.86578,0.86648,4840
2019-04-17T17:00:00.000000000Z,0.8665,0.8668,0.86622,0.86646,1172
2019-04-17T21:00:00.000000000Z,0.86642,0.86666,0.86616,0.86622,565
2019-04-18T01:00:00.000000000Z,0.86624,0.86643,0.86572,0.86586,776
2019-04-18T05:00:00.000000000Z,0.86584,0.86664,0.86358,0.86478,6041
2019-04-18T09:00:00.000000000Z,0.86476,0.86561,0.86415,0.86436,5776
2019-04-18T13:00:00.000000000Z,0.86434,0.86521,0.86386,0.8651,4901
2019-04-18T17:00:00.000000000Z,0.86512,0.86512,0.86429,0.86468,1312
2019-04-18T21:00:00.000000000Z,0.86462,0.86536,0.86451,0.8651,1217
2019-04-19T01:00:00.000000000Z,0.86512,0.8656,0.86443,0.86447,3965
2019-04-19T05:00:00.000000000Z,0.8645,0.86528,0.8645,0.865,2184
2019-04-19T09:00:00.000000000Z,0.86503,0.86529,0.86442,0.86516,2078
2019-04-19T13:00:00.000000000Z,0.86513,0.86536,0.86473,0.86492,1724
2019-04-19T17:00:00.000000000Z,0.86488,0.86552,0.8647,0.86504,9133
2019-04-21T21:00:00.000000000Z,0.86492,0.8658,0.86492,0.86564,603
2019-04-22T01:00:00.000000000Z,0.86567,0.86569,0.86472,0.8649,590
2019-04-22T05:00:00.000000000Z,0.86492,0.86576,0.86484,0.8657,1218
2019-04-22T09:00:00.000000000Z,0.86572,0.86687,0.86561,0.86675,944
2019-04-22T13:00:00.000000000Z,0.86672,0.8676,0.86636,0.86702,1639
2019-04-22T17:00:00.000000000Z,0.86705,0.8675,0.867,0.86724,605
2019-04-22T21:00:00.000000000Z,0.86716,0.8677,0.8662,0.8662,543
2019-04-23T01:00:00.000000000Z,0.86622,0.86658,0.86602,0.8662,647
2019-04-23T05:00:00.000000000Z,0.86622,0.86682,0.86552,0.86596,2976
2019-04-23T09:00:00.000000000Z,0.866,0.86612,0.8636,0.86574,3618
2019-04-23T13:00:00.000000000Z,0.86571,0.86674,0.86444,0.86614,5317
2019-04-23T17:00:00.000000000Z,0.86616,0.86821,0.8661,0.8678,1366
2019-04-23T21:00:00.000000000Z,0.86712,0.86802,0.86678,0.8668,926
2019-04-24T01:00:00.000000000Z,0.86684,0.86742,0.86656,0.86695,1459
2019-04-24T05:00:00.000000000Z,0.86697,0.86783,0.86642,0.86736,3468
2019-04-24T09:00:00.000000000Z,0.86734,0.86784,0.86483,0.86483,3561
2019-04-24T13:00:00.000000000Z,0.86485,0.865,0.86306,0.86354,4621
2019-04-24T17:00:00.000000000Z,0.86352,0.86472,0.86313,0.86438,2643
2019-04-24T21:00:00.000000000Z,0.86434,0.86483,0.86402,0.8642,1136
2019-04-25T01:00:00.000000000Z,0.86418,0.86468,0.86373,0.86456,1165
2019-04-25T05:00:00.000000000Z,0.86458,0.86532,0.86362,0.86493,4163
2019-04-25T09:00:00.000000000Z,0.8649,0.86544,0.86364,0.8638,4457
2019-04-25T13:00:00.000000000Z,0.86378,0.86442,0.86269,0.8632,4239
2019-04-25T17:00:00.000000000Z,0.86322,0.8637,0.86304,0.8631,1567
2019-04-25T21:00:00.000000000Z,0.86324,0.86365,0.86289,0.86339,919
2019-04-26T01:00:00.000000000Z,0.86337,0.86356,0.86294,0.86306,990
2019-04-26T05:00:00.000000000Z,0.86308,0.86364,0.86266,0.8631,2571
2019-04-26T09:00:00.000000000Z,0.86313,0.86392,0.86246,0.863,4308
2019-04-26T13:00:00.000000000Z,0.86298,0.86395,0.86218,0.86316,5623
2019-04-26T17:00:00.000000000Z,0.86314,0.86344,0.8627,0.86304,1711
2019-04-28T21:00:00.000000000Z,0.86298,0.8632,0.86253,0.86286,816
2019-04-29T01:00:00.000000000Z,0.86284,0.863,0.86238,0.86257,649
2019-04-29T05:00:00.000000000Z,0.86255,0.86306,0.86208,0.86258,2438
2019-04-29T09:00:00.000000000Z,0.86256,0.86392,0.8622,0.86358,2916
2019-04-29T13:00:00.000000000Z,0.86356,0.86473,0.86346,0.86451,3007
2019-04-29T17:00:00.000000000Z,0.86449,0.86486,0.86416,0.86478,1212
2019-04-29T21:00:00.000000000Z,0.86468,0.86514,0.8644,0.86476,434
2019-04-30T01:00:00.000000000Z,0.86473,0.86491,0.86442,0.86454,733
2019-04-30T05:00:00.000000000Z,0.86452,0.86457,0.86276,0.86378,3729
2019-04-30T09:00:00.000000000Z,0.86382,0.86397,0.86148,0.86158,3829
2019-04-30T13:00:00.000000000Z,0.8616,0.86166,0.85905,0.86002,5725
2019-04-30T17:00:00.000000000Z,0.86005,0.86082,0.85973,0.8603,2046
2019-04-30T21:00:00.000000000Z,0.86026,0.86061,0.85989,0.8601,885
2019-05-01T01:00:00.000000000Z,0.86008,0.86023,0.85988,0.86018,532
2019-05-01T05:00:00.000000000Z,0.8602,0.86063,0.85866,0.85972,2313
2019-05-01T09:00:00.000000000Z,0.85975,0.86014,0.8589,0.85917,2828
2019-05-01T13:00:00.000000000Z,0.85914,0.85996,0.85879,0.8594,3448
2019-05-01T17:00:00.000000000Z,0.85942,0.86008,0.85777,0.85796,5935
2019-05-01T21:00:00.000000000Z,0.85802,0.85854,0.85788,0.85832,753
2019-05-02T01:00:00.000000000Z,0.85834,0.85877,0.85818,0.85874,938
2019-05-02T05:00:00.000000000Z,0.85872,0.85902,0.85685,0.8586,3424
2019-05-02T09:00:00.000000000Z,0.85858,0.85982,0.85692,0.85858,6036
2019-05-02T13:00:00.000000000Z,0.8586,0.8589,0.85764,0.8583,4068
2019-05-02T17:00:00.000000000Z,0.85833,0.85845,0.85716,0.85736,1316
2019-05-02T21:00:00.000000000Z,0.8574,0.85761,0.8572,0.85727,374
2019-05-03T01:00:00.000000000Z,0.85729,0.85734,0.85683,0.85696,497
2019-05-03T05:00:00.000000000Z,0.85698,0.85778,0.85664,0.85772,2362
2019-05-03T09:00:00.000000000Z,0.85776,0.85874,0.85628,0.8565,3750
2019-05-03T13:00:00.000000000Z,0.85652,0.85772,0.84974,0.85164,8336
2019-05-03T17:00:00.000000000Z,0.85166,0.85166,0.85002,0.85022,2731
2019-05-05T21:00:00.000000000Z,0.85006,0.85112,0.84907,0.85082,1852
2019-05-06T01:00:00.000000000Z,0.85084,0.85324,0.85076,0.85296,1238
2019-05-06T05:00:00.000000000Z,0.85294,0.85345,0.85246,0.85327,3516
2019-05-06T09:00:00.000000000Z,0.85324,0.85539,0.85278,0.8545,4100
