dateime,open,close,low,high
2020-06-11 09:00:00,1.13891,1.1356,1.13357,1.14011
2020-06-11 13:00:00,1.1356,1.13611,1.13501,1.14031
2020-06-11 17:00:00,1.13611,1.12984,1.12881,1.13611
2020-06-11 21:00:00,1.12984,1.12824,1.12797,1.13002
2020-06-12 01:00:00,1.12824,1.12965,1.12759,1.12973
2020-06-12 05:00:00,1.12965,1.1324,1.12927,1.134
2020-06-12 09:00:00,1.1324,1.13047,1.1292,1.13271
2020-06-12 13:00:00,1.13047,1.12356,1.12329,1.13224
2020-06-12 17:00:00,1.12356,1.12542,1.12119,1.12616
2020-06-14 17:00:00,1.12425,1.12403,1.12261,1.12425
2020-06-14 21:00:00,1.12323,1.12456,1.12259,1.12605
2020-06-15 01:00:00,1.12456,1.126,1.1243,1.12679
2020-06-15 05:00:00,1.126,1.12659,1.12262,1.1267
2020-06-15 09:00:00,1.12659,1.12471,1.12397,1.12672
2020-06-15 13:00:00,1.12471,1.12847,1.12432,1.12889
2020-06-15 17:00:00,1.12847,1.1322,1.12815,1.1332
2020-06-15 21:00:00,1.1322,1.13331,1.13179,1.13393
2020-06-16 01:00:00,1.13331,1.13322,1.13269,1.13478
2020-06-16 05:00:00,1.13322,1.13358,1.13144,1.13528
2020-06-16 09:00:00,1.13358,1.13012,1.12942,1.13406
2020-06-16 13:00:00,1.13012,1.12678,1.12272,1.13025
2020-06-16 17:00:00,1.12678,1.12621,1.12561,1.12719
2020-06-16 21:00:00,1.12621,1.1267,1.12527,1.12728
2020-06-17 01:00:00,1.1267,1.12707,1.12542,1.12725
2020-06-17 05:00:00,1.12707,1.12569,1.12501,1.12933
2020-06-17 09:00:00,1.12569,1.12363,1.12222,1.12596
2020-06-17 13:00:00,1.12363,1.12302,1.12065,1.1248
2020-06-17 17:00:00,1.12302,1.12424,1.12281,1.12455
2020-06-17 21:00:00,1.12424,1.12406,1.12372,1.12496
2020-06-18 01:00:00,1.12406,1.12548,1.12243,1.12607
2020-06-18 05:00:00,1.12548,1.12486,1.12294,1.12596
2020-06-18 09:00:00,1.12486,1.12268,1.12137,1.12608
2020-06-18 13:00:00,1.12268,1.11927,1.11917,1.12321
2020-06-18 17:00:00,1.11927,1.12051,1.1185,1.12124
2020-06-18 21:00:00,1.12051,1.12031,1.1197,1.12128
2020-06-19 01:00:00,1.12031,1.12128,1.11984,1.12156
2020-06-19 05:00:00,1.12128,1.12155,1.12029,1.12212
2020-06-19 09:00:00,1.12155,1.12374,1.11937,1.12538
2020-06-19 13:00:00,1.12374,1.11919,1.11677,1.12417
2020-06-19 17:00:00,1.11919,1.11727,1.11713,1.11931
